title,company,location,url,application_url,category,date_posted,source
Lamb Weston Summer Internship Program,Lamb Weston,"Kennewick, WA",https://simplify.jobs/c/Lamb-Weston,https://simplify.jobs/c/Lamb-Weston,Program,2025-07-14,SimplifyJobs
Lamb Weston Summer Internship Program,Lamb Weston,"Kennewick, WA",https://simplify.jobs/c/Lamb-Weston,https://simplify.jobs/c/Lamb-Weston,Program,2025-07-14,PittCSC
